gene_symbol	legacy_symbol	hgnc_approved_symbol	scored_symbol_in_current_analysis	source_category	evidence_tier	evidence_note	primary_score_member	ecm_excluded_score_member	structural_ecm	lock_status	lock_date	detected_GSE135251	detected_GSE130970	detected_GSE162694	detected_GSE126848	detected_GSE167523	hgnc_status	hgnc_audit_note	alias_aware_detected_GSE135251	alias_aware_detected_GSE130970	alias_aware_detected_GSE162694	alias_aware_detected_GSE126848	alias_aware_detected_GSE167523
ATF3		ATF3	ATF3	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FOS		FOS	FOS	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FOSB		FOSB	FOSB	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FOSL1		FOSL1	FOSL1	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FOSL2		FOSL2	FOSL2	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
JUN		JUN	JUN	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
JUNB		JUNB	JUNB	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
JUND		JUND	JUND	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
MAFF		MAFF	MAFF	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
MAFG		MAFG	MAFG	AP1_chromatin_priming_context	A/B	AP-1 and immediate-early transcriptional programs linked to stiffness response and HSC activation context.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LOX		LOX	LOX	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LOXL2		LOXL2	LOXL2	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
MMP14		MMP14	MMP14	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
MMP2		MMP2	MMP2	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PLOD2		PLOD2	PLOD2	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SPARC		SPARC	SPARC	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
THY1		THY1	THY1	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TIMP1		TIMP1	TIMP1	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TIMP2		TIMP2	TIMP2	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
VCAN		VCAN	VCAN	ECM_remodeling_HSC_activation_context	A/B	ECM remodeling, crosslinking, and HSC activation context; may overlap with fibrosis burden.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL1A1		COL1A1	COL1A1	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL1A2		COL1A2	COL1A2	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL3A1		COL3A1	COL3A1	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL5A1		COL5A1	COL5A1	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL5A2		COL5A2	COL5A2	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL6A1		COL6A1	COL6A1	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL6A2		COL6A2	COL6A2	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
COL6A3		COL6A3	COL6A3	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
DCN		DCN	DCN	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FN1		FN1	FN1	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LAMA2		LAMA2	LAMA2	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LAMB1		LAMB1	LAMB1	ECM_structural_fibrosis_context	D	Structural ECM and fibrosis abundance context; excluded from ECM-excluded sensitivity score.	yes	no	yes	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
